,Name,University,Course,Year,Status,GRE_SCORE,Eng_test,Test_score,Undergrad_score,work_ex
44,APPUREDD,Carnegie Mellon University,Information Management and Systems,Fall 2018 ,Reject,321,TOEFL,109,81%,18 months
45,Chidvilas ,Carnegie Mellon University,Information Management and Systems,Fall 2018 ,Reject,318,IELTS,0,7.38 CGPA ,45 months
46,DeepTalati,Carnegie Mellon University,Information Management and Systems,Fall 2018 ,Reject,319,IELTS,7,85.45%,7 months
47,AsadM,Carnegie Mellon University,Information Management and Systems,Fall 2018 ,Reject,301,ENG TEST,NA ,65%,74 months
48,ankurm26,Carnegie Mellon University,Information Management and Systems,Fall 2018 ,Reject,322,TOEFL,110,3.1 CGPA ,12 months
49,Aditi00004,Carnegie Mellon University,Information Management and Systems,Fall 2018 ,Reject,324,TOEFL,106,7.8 CGPA ,33 months
50,shreyank96,Carnegie Mellon University,Information Management and Systems,Fall 2018 ,Reject,325,TOEFL,116,8.48 CGPA ,2 months
51,akshayrakesh,Carnegie Mellon University,Information Management and Systems,Fall 2018 ,Reject,N.A. ,TOEFL,107,7.65 CGPA ,31 months
52,anadirastogi47,Carnegie Mellon University,Information Management and Systems,Fall 2018 ,Reject,315,TOEFL,109,6.72 CGPA ,29 months
53,rajsoni,Carnegie Mellon University,Information Management and Systems,Fall 2018 ,Reject,293,TOEFL,101,8.72 CGPA ,20 months
54,Himanshu5393,Carnegie Mellon University,Information Management and Systems,Fall 2018 ,Reject,321,TOEFL,108,63.22%,21 months
55,Pavan1996,Carnegie Mellon University,Information Management and Systems,Fall 2018 ,Reject,318,TOEFL,109,6.75 CGPA ,13 months
56,ALI52,Carnegie Mellon University,Information Management and Systems,Fall 2018 ,Reject,309,TOEFL,0,6.03 CGPA ,28 months
57,RoshniDas,Carnegie Mellon University,Information Management and Systems,Fall 2018 ,Reject,314,IELTS,8,77.20%,20 months
58,manish1352,Carnegie Mellon University,Information Management and Systems,Fall 2018 ,Reject,330,TOEFL,107,9.23 CGPA ,15 months
59,Rishabhpanwar05,Carnegie Mellon University,Information Management and Systems,Fall 2018 ,Reject,329,TOEFL,110,7.4 CGPA ,4 months
60,GauravDharra,Carnegie Mellon University,Information Management and Systems,Fall 2018 ,Reject,313,ENG TEST,NA ,75%,38 months
61,pavankumarp1990,Carnegie Mellon University,Information Management and Systems,Fall 2018 ,Reject,317,TOEFL,106,73.40%,82 months
62,sahiltandon,Carnegie Mellon University,Information Management and Systems,Fall 2018 ,Reject,320,TOEFL,110,6.2 CGPA ,40 months
64,aishwaryacraj,Carnegie Mellon University,Information Management and Systems,Fall 2019 ,Interested,N.A. ,ENG TEST,NA ,8.78 CGPA ,1 month
65,RohitGund,Carnegie Mellon University,Information Management and Systems,Fall 2019 ,Interested,N.A. ,ENG TEST,NA ,64.98%,NA
66,RishG,Carnegie Mellon University,Information Management and Systems,Fall 2019 ,Interested,313,ENG TEST,NA ,79.80%,134 months
67,vivek saroj,Carnegie Mellon University,Information Management and Systems,Fall 2020 ,Interested,N.A. ,ENG TEST,NA ,9.002 CGPA ,NA
68,reddevils9492CSNinja,Carnegie Mellon University,Information Management and Systems,Fall 2019 ,Interested,319,TOEFL,104,75%,36 months
69,shashi284,Carnegie Mellon University,Information Management and Systems,Fall 2016 ,Interested,315,TOEFL,104,8.54 CGPA ,30 months
70,Urjasvit,Carnegie Mellon University,Information Management and Systems,Fall 2018 ,Interested,N.A. ,ENG TEST,NA ,7.7 CGPA ,2 months
71,SB93,Carnegie Mellon University,Information Management and Systems,Spring 2018 ,Interested,326,TOEFL,105,5.8 CGPA ,28 months
72,ratnamandava,Carnegie Mellon University,Information Management and Systems,Fall 2019 ,Interested,322,ENG TEST,NA ,6.45 CGPA ,1 month
73,swapswap,Carnegie Mellon University,Information Management and Systems,Fall 2018 ,Interested,323,TOEFL,116,8.38 CGPA ,4 months
74,sowmyan88,Carnegie Mellon University,Information Management and Systems,Spring 2019 ,Interested,310,IELTS,7.5,9.5 CGPA ,24 months
