,Name,University,Course,Year,Status,GRE_SCORE,Eng_test,Test_score,Undergrad_score,work_ex
21,Vidhyashree,Rutgers University-New Brunswick,Information Science,Spring 2019 ,Interested,299,TOEFL,101,9.1 CGPA ,14 months
22,SmartyParth97,Rutgers University-New Brunswick,Information Science,Fall 2019 ,Interested,N.A. ,ENG TEST,NA ,6 CGPA ,10 months
23,AyushKalla,Rutgers University-New Brunswick,Information Science,Fall 2018 ,Interested,313,TOEFL,103,6.5 CGPA ,NA
24,Popopo,Rutgers University-New Brunswick,Information Science,Fall 2018 ,Interested,304,ENG TEST,NA ,8.5 CGPA ,24 months
25,Sahir003,Rutgers University-New Brunswick,Information Science,Fall 2018 ,Interested,314,ENG TEST,NA ,5.8 CGPA ,NA
26,Keerthanasiva,Rutgers University-New Brunswick,Information Science,Spring 2018 ,Interested,304,TOEFL,90,7.5 CGPA ,22 months
27,BhavaniK,Rutgers University-New Brunswick,Information Science,Fall 2018 ,Interested,N.A. ,TOEFL,110,8.02 CGPA ,22 months
28,rundhu,Rutgers University-New Brunswick,Information Science,Spring 2019 ,Interested,N.A. ,ENG TEST,NA ,69.73%,NA
29,Rash05,Rutgers University-New Brunswick,Information Science,Fall 2019 ,Interested,N.A. ,ENG TEST,NA ,8.8 CGPA ,44 months
30,AkashDwi,Rutgers University-New Brunswick,Information Science,Fall 2019 ,Interested,321,TOEFL,108,56.06%,7 months
31,Indu01,Rutgers University-New Brunswick,Information Science,Fall 2018 ,Interested,293,TOEFL,86,6.5 CGPA ,21 months
32,Anki7760,Rutgers University-New Brunswick,Information Science,Fall 2019 ,Interested,N.A. ,ENG TEST,NA ,7.4 CGPA ,18 months
,Name,University,Course,Year,Status,GRE_SCORE,Eng_test,Test_score,Undergrad_score,work_ex
1,bhumiii3,"Rutgers University, Newark",Management Information System,Fall 2018 ,Applied,297,TOEFL,98,6.08 CGPA ,NA
2,priya s,"Rutgers University, Newark",Management Information System,Fall 2018 ,Applied,304,TOEFL,102,8.5 CGPA ,52 months
3,harsu,"Rutgers University, Newark",Management Information System,Fall 2018 ,Applied,309,TOEFL,93,7.3 CGPA ,NA
4,sayalic,"Rutgers University, Newark",Management Information System,Fall 2018 ,Applied,N.A. ,TOEFL,80,7.86 CGPA ,1 month
5,manojs,"Rutgers University, Newark",Management Information System,Fall 2018  ,Applied,302,TOEFL,98,6.6 CGPA ,18 months
6,goelsarthak,"Rutgers University, Newark",Management Information System,Fall 2018 ,Applied,303,TOEFL,99,71.68%,40 months
7,Thoooo,"Rutgers University, Newark",Management Information System,Fall 2018 ,Applied,316,ENG TEST,NA ,9.19 CGPA ,2 months
8,dkb,"Rutgers University, Newark",Management Information System,Spring 2018 ,Applied,302,IELTS,6,8.56 CGPA ,NA
9,ParijaP,"Rutgers University, Newark",Management Information System,Fall 2017 ,Applied,309,TOEFL,99,69.15%,17 months
10,dee051,"Rutgers University, Newark",Management Information System,Fall 2017 ,Applied,297,TOEFL,97,53%,NA
11,saptak,"Rutgers University, Newark",Management Information System,Fall 2017 ,Applied,299,TOEFL,100,55%,25 months
12,Raj Masrani,"Rutgers University, Newark",Management Information System,Fall 2017 ,Applied,304,TOEFL,99,5.96 CGPA ,NA
13,kshitijsale,"Rutgers University, Newark",Management Information System,Fall 2017 ,Applied,302,TOEFL,100,60%,18 months
14,DashDalvi,"Rutgers University, Newark",Management Information System,Fall 2017 ,Applied,310,TOEFL,100,6.5 CGPA ,4 months
15,hranjan,"Rutgers University, Newark",Management Information System,Fall 2017 ,Applied,306,TOEFL,97,8.07 CGPA ,26 months
16,munna463,"Rutgers University, Newark",Management Information System,Spring 2017 ,Applied,306,TOEFL,94,72.90%,12 months
17,Sidaxelrod,"Rutgers University, Newark",Management Information System,Fall 2018 ,Applied,322,TOEFL,101,58.89%,24 months
18,palashi19,"Rutgers University, Newark",Management Information System,Fall 2016 ,Applied,319,TOEFL,112,6 CGPA ,NA
19,czhirag,"Rutgers University, Newark",Management Information System,Fall 2016 ,Applied,318,TOEFL,98,63%,NA
20,malhota,"Rutgers University, Newark",Management Information System,Fall 2016 ,Applied,299,IELTS,7.5,78%,NA
22,Dhruv94,"Rutgers University, Newark",Management Information System,Fall 2018 ,Admit,303,TOEFL,85,6.3 CGPA ,6 months
23,arpita103,"Rutgers University, Newark",Management Information System,Fall 2018 ,Admit,300,TOEFL,93,69.40%,82 months
24,sailinaik,"Rutgers University, Newark",Management Information System,Fall 2018 ,Admit,294,TOEFL,95,6.25 CGPA ,12 months
25,MrPerfect ,"Rutgers University, Newark",Management Information System,Fall 2018 ,Admit,294,TOEFL,90,6.6 CGPA ,NA
26,DivyaN21,"Rutgers University, Newark",Management Information System,Fall 2018 ,Admit,298,TOEFL,95,67%,30 months
27,shruti7,"Rutgers University, Newark",Management Information System,Fall 2018 ,Admit,303,TOEFL,91,7.7 CGPA ,1 month
28,abckfkjeso,"Rutgers University, Newark",Management Information System,Fall 2018 ,Admit,303,TOEFL,0,60%,14 months
29,Jaynee,"Rutgers University, Newark",Management Information System,Fall 2018 ,Admit,293,TOEFL,95,7.3 CGPA ,33 months
30,ReemaM,"Rutgers University, Newark",Management Information System,Fall 2018 ,Admit,291,IELTS,6.5,67%,27 months
31,Bhavesh14,"Rutgers University, Newark",Management Information System,Fall 2018 ,Admit,294,TOEFL,93,54%,35 months
32,Dipp1221,"Rutgers University, Newark",Management Information System,Fall 2018 ,Admit,294,TOEFL,0,8.69 CGPA ,16 months
33,Shveta,"Rutgers University, Newark",Management Information System,Fall 2018 ,Admit,300,TOEFL,0,67%,56 months
34,Shivam-Naik,"Rutgers University, Newark",Management Information System,Fall 2018 ,Admit,295,TOEFL,0,64%,26 months
35,DrashtiShah,"Rutgers University, Newark",Management Information System,Fall 2018 ,Admit,308,TOEFL,95,3.5 CGPA ,3 months
36,SamidhaSomu,"Rutgers University, Newark",Management Information System,Fall 2018 ,Admit,297,TOEFL,101,6.8 CGPA ,19 months
37,np-masters,"Rutgers University, Newark",Management Information System,Fall 2018 ,Admit,306,TOEFL,0,64.14%,31 months
38,Nehneh,"Rutgers University, Newark",Management Information System,Fall 2016 ,Admit,299,TOEFL,91,63.55%,32 months
39,Tarang13,"Rutgers University, Newark",Management Information System,Fall 2018 ,Admit,N.A. ,ENG TEST,NA ,7.75 CGPA ,5 months
40,rmanek,"Rutgers University, Newark",Management Information System,Fall 2018 ,Admit,310,TOEFL,96,56.40%,36 months
41,Ritwin,"Rutgers University, Newark",Management Information System,Fall 2018 ,Admit,310,TOEFL,0,7.7 CGPA ,2 months
43,kamakshi,"Rutgers University, Newark",Management Information System,Fall 2018 ,Reject,296,IELTS,6,60%,36 months
44,Lux ,"Rutgers University, Newark",Management Information System,Fall 2018 ,Reject,310,TOEFL,107,6.71 CGPA ,12 months
45,Proshonjit,"Rutgers University, Newark",Management Information System,Fall 2017 ,Reject,313,TOEFL,112,55%,43 months
47,sagar_93,"Rutgers University, Newark",Management Information System,Fall 2019 ,Interested,N.A. ,ENG TEST,NA ,63.21%,35 months
48,Nishigandha,"Rutgers University, Newark",Management Information System,Fall 2019 ,Interested,N.A. ,ENG TEST,NA ,65.30%,18 months
49,Rohan0901,"Rutgers University, Newark",Management Information System,Spring 2019 ,Interested,308,TOEFL,92,63.33%,60 months
50,sulagna1994,"Rutgers University, Newark",Management Information System,Spring 2019 ,Interested,302,TOEFL,106,8.39 CGPA ,24 months
51,lalit_mohan,"Rutgers University, Newark",Management Information System,Fall 2019 ,Interested,N.A. ,ENG TEST,NA ,7.2 CGPA ,29 months
52,Sree19961996,"Rutgers University, Newark",Management Information System,Fall 2019 ,Interested,N.A. ,ENG TEST,NA ,8.1 CGPA ,NA
53,Arun Bajoji,"Rutgers University, Newark",Management Information System,Spring 2019 ,Interested,N.A. ,ENG TEST,NA ,62%,NA
54,sandeepyadav599,"Rutgers University, Newark",Management Information System,Fall 2020 ,Interested,310,TOEFL,92,5.5 CGPA ,NA
55,malvikamgm,"Rutgers University, Newark",Management Information System,Fall 2019 ,Interested,N.A. ,ENG TEST,NA ,8.5 CGPA ,NA
56,ShamsTabrez,"Rutgers University, Newark",Management Information System,Spring 2019 ,Interested,298,ENG TEST,NA ,67%,23 months
57,pav1993,"Rutgers University, Newark",Management Information System,Fall 2019 ,Interested,310,TOEFL,0,8.98 CGPA ,35 months
58,ShubhamCfc,"Rutgers University, Newark",Management Information System,Spring 2019 ,Interested,302,TOEFL,98,73%,40 months
59,Naman Rungta,"Rutgers University, Newark",Management Information System,Spring 2019 ,Interested,N.A. ,ENG TEST,NA ,72%,27 months
60,dheerajraavi,"Rutgers University, Newark",Management Information System,Spring 2019 ,Interested,303,IELTS,8,7.02 CGPA ,NA
61,universalen1995,"Rutgers University, Newark",Management Information System,Spring 2019 ,Interested,292,TOEFL,90,6.52 CGPA ,13 months
62,Abhishek257,"Rutgers University, Newark",Management Information System,Fall 2019 ,Interested,N.A. ,ENG TEST,NA ,70%,2 months
63,AbhiSaurav,"Rutgers University, Newark",Management Information System,Fall 2019 ,Interested,310,ENG TEST,NA ,6.5 CGPA ,28 months
64,lokesh2334,"Rutgers University, Newark",Management Information System,Spring 2019 ,Interested,295,TOEFL,93,54%,41 months
65,Nimish18,"Rutgers University, Newark",Management Information System,Fall 2019 ,Interested,287,ENG TEST,NA ,59.90%,80 months
66,diveshpatil,"Rutgers University, Newark",Management Information System,Spring 2019 ,Interested,290,ENG TEST,NA ,6.07 CGPA ,NA
,Name,University,Course,Year,Status,GRE_SCORE,Eng_test,Test_score,Undergrad_score,work_ex
1,Pravindubey,Santa Clara University,Information Systems,Fall 2018 ,Applied,289,TOEFL,102,61%,33 months
2,sudhir rai,Santa Clara University,Information Systems,Fall 2018 ,Applied,306,IELTS,7,71.98%,48 months
3,priyanshbendre,Santa Clara University,Information Systems,Fall 2018 ,Applied,309,TOEFL,103,69%,NA
4,riya22,Santa Clara University,Information Systems,Spring 2018 ,Applied,293,TOEFL,85,55%,32 months
5,mvivekmishra,Santa Clara University,Information Systems,Fall 2017 ,Applied,295,ENG TEST,NA ,76.25%,60 months
6,hrishi500,Santa Clara University,Information Systems,Fall 2017 ,Applied,309,TOEFL,107,63.92%,26 months
7,tanmay92,Santa Clara University,Information Systems,Fall 2017 ,Applied,302,TOEFL,81,62%,24 months
8,Ashivash,Santa Clara University,Information Systems,Fall 2017 ,Applied,305,TOEFL,102,7.56 CGPA ,53 months
9,aishdee,Santa Clara University,Information Systems,Fall 2017 ,Applied,304,TOEFL,110,65.04%,10 months
10,Alisha1212,Santa Clara University,Information Systems,Fall 2017 ,Applied,313,TOEFL,104,7.06 CGPA ,NA
11,hinatara,Santa Clara University,Information Systems,Fall 2016 ,Applied,310,TOEFL,92,69%,NA
12,shaan1310,Santa Clara University,Information Systems,Fall 2015 ,Applied,303,IELTS,7.5,56%,20 months
13,abhimanyu17,Santa Clara University,Information Systems,Fall 2016 ,Applied,312,TOEFL,87,71%,30 months
14,sahni,Santa Clara University,Information Systems,Fall 2016 ,Applied,302,ENG TEST,NA ,75.50%,NA
15,lavinakh,Santa Clara University,Information Systems,Fall 2016 ,Applied,311,TOEFL,100,0%,NA
16,shenoy,Santa Clara University,Information Systems,Fall 2016 ,Applied,315,TOEFL,95,54%,30 months
17,rehan712,Santa Clara University,Information Systems,Fall 2016 ,Applied,292,TOEFL,100,2 CGPA ,NA
18,duvvuri,Santa Clara University,Information Systems,Fall 2015 ,Applied,275,TOEFL,80,78%,NA
19,viswas77,Santa Clara University,Information Systems,Spring 2016 ,Applied,319,ENG TEST,NA ,70%,NA
20,anishalamba,Santa Clara University,Information Systems,Fall 2016 ,Applied,288,ENG TEST,NA ,78.85%,NA
22,Teja K,Santa Clara University,Information Systems,Fall 2017 ,Admit,316,TOEFL,113,60%,NA
23,Vaishu07,Santa Clara University,Information Systems,Fall 2018 ,Admit,304,TOEFL,100,8.23 CGPA ,46 months
24,aditi04upreti,Santa Clara University,Information Systems,Fall 2018 ,Admit,306,TOEFL,104,7.5 CGPA ,34 months
25,rs1007,Santa Clara University,Information Systems,Fall 2018 ,Admit,298,TOEFL,104,7.23 CGPA ,7 months
26,Mssshashi,Santa Clara University,Information Systems,Fall 2018 ,Admit,307,TOEFL,106,64%,30 months
27,darshan bhansali,Santa Clara University,Information Systems,Fall 2018 ,Admit,301,TOEFL,92,62%,5 months
28,Rujuta T,Santa Clara University,Information Systems,Fall 2018 ,Admit,307,TOEFL,97,72%,52 months
29,ankurm26,Santa Clara University,Information Systems,Fall 2018 ,Admit,322,TOEFL,110,3.1 CGPA ,12 months
30,kshitijaS,Santa Clara University,Information Systems,Fall 2018 ,Admit,301,TOEFL,100,63.40%,37 months
31,Vedang07,Santa Clara University,Information Systems,Fall 2018 ,Admit,317,TOEFL,108,8.2 CGPA ,NA
32,div0724,Santa Clara University,Information Systems,Fall 2018 ,Admit,308,TOEFL,100,64%,29 months
33,sankalp2610,Santa Clara University,Information Systems,Fall 2018 ,Admit,306,TOEFL,99,74%,NA
34,Kiah-kol,Santa Clara University,Information Systems,Fall 2018 ,Admit,322,TOEFL,107,74.47%,28 months
35,AkshayBagde,Santa Clara University,Information Systems,Fall 2018 ,Admit,307,TOEFL,108,75%,NA
36,Shailysaigal ,Santa Clara University,Information Systems,Fall 2018 ,Admit,309,TOEFL,94,8.66 CGPA ,2 months
37,abhijay22,Santa Clara University,Information Systems,Fall 2018 ,Admit,319,TOEFL,101,6.57 CGPA ,15 months
38,ranitariki,Santa Clara University,Information Systems,Fall 2018 ,Admit,304,TOEFL,96,9.24 CGPA ,74 months
39,Khush,Santa Clara University,Information Systems,Fall 2018 ,Admit,317,TOEFL,94,80%,6 months
40,Sonajan,Santa Clara University,Information Systems,Fall 2018 ,Admit,314,ENG TEST,NA ,80.68%,48 months
41,Vanisk,Santa Clara University,Information Systems,Fall 2018 ,Admit,307,TOEFL,0,8.1 CGPA ,54 months
43,neelnath,Santa Clara University,Information Systems,Fall 2017 ,Reject,309,TOEFL,94,54%,6 months
44,NtRiX9999,Santa Clara University,Information Systems,Fall 2017 ,Reject,298,TOEFL,98,6.1 CGPA ,NA
45,prathibhamv,Santa Clara University,Information Systems,Fall 2017 ,Reject,302,TOEFL,93,7.1 CGPA ,30 months
46,Karthiknarayan,Santa Clara University,Information Systems,Fall 2017 ,Reject,294,TOEFL,89,73%,23 months
47,Nikkie,Santa Clara University,Information Systems,Spring 2017 ,Reject,299,IELTS,7,8.08 CGPA ,12 months
48,sumukhahr,Santa Clara University,Information Systems,Fall 2016 ,Reject,297,TOEFL,81,66%,17 months
49,seenu78,Santa Clara University,Information Systems,Fall 2016 ,Reject,N.A. ,ENG TEST,NA , 6.5 CGPA ,NA
50,jayantvelichety,Santa Clara University,Information Systems,Fall 2018 ,Reject,292,TOEFL,85,51%,8 months
51,psswl21,Santa Clara University,Information Systems,Fall 2016 ,Reject,298,TOEFL,92,57%,30 months
52,voldywasp,Santa Clara University,Information Systems,Fall 2016 ,Reject,294,TOEFL,106,6 CGPA ,NA
53,vik8600,Santa Clara University,Information Systems,Fall 2016 ,Reject,281,TOEFL,81,54%,30 months
55,lpriya,Santa Clara University,Information Systems,Spring 2019 ,Interested,N.A. ,ENG TEST,NA ,64.50%,NA
56,ashish.singh712,Santa Clara University,Information Systems,Spring 2019 ,Interested,N.A. ,ENG TEST,NA ,67%,NA
57,diviraj,Santa Clara University,Information Systems,Spring 2019 ,Interested,303,TOEFL,103,9 CGPA ,2 months
58,kewalc,Santa Clara University,Information Systems,Fall 2019 ,Interested,N.A. ,ENG TEST,NA ,58%,NA
59,gumps123,Santa Clara University,Information Systems,Spring 2019 ,Interested,304,TOEFL,90,8 CGPA ,61 months
60,Pranita1610,Santa Clara University,Information Systems,Spring 2019 ,Interested,302,TOEFL,90,76.34%,46 months
61,Panduu,Santa Clara University,Information Systems,Spring 2019 ,Interested,302,TOEFL,90,76.34%,46 months
62,SatyaV,Santa Clara University,Information Systems,Spring 2019 ,Interested,N.A. ,IELTS,7,6.5 CGPA ,22 months
63,devusavla,Santa Clara University,Information Systems,Fall 2019 ,Interested,305,ENG TEST,NA ,70%,18 months
64,yadabba,Santa Clara University,Information Systems,Fall 2020 ,Interested,N.A. ,ENG TEST,NA ,3.5 CGPA ,12 months
65,Ram1199,Santa Clara University,Information Systems,Spring 2019 ,Interested,305,IELTS,7,62%,8 months
66,Sudhakar17,Santa Clara University,Information Systems,Spring 2019 ,Interested,331,IELTS,7,65%,15 months
67,mahesh123,Santa Clara University,Information Systems,Spring 2019 ,Interested,315,IELTS,7, 8.26 CGPA ,10 months
68,Rick1990,Santa Clara University,Information Systems,Fall 2018 ,Interested,N.A. ,TOEFL,99,7.22 CGPA ,36 months
69,sisirchinferno,Santa Clara University,Information Systems,Spring 2019 ,Interested,308,TOEFL,100,6.47 CGPA ,38 months
70,AbhaAshapure,Santa Clara University,Information Systems,Fall 2018 ,Interested,300,TOEFL,83,68.19%,12 months
71,vvinayak21,Santa Clara University,Information Systems,Fall 2018 ,Interested,N.A. ,IELTS,7,51%,13 months
72,rohinik,Santa Clara University,Information Systems,Fall 2019 ,Interested,296,TOEFL,100,8.05 CGPA ,48 months
73,Swatcat,Santa Clara University,Information Systems,Spring 2019 ,Interested,296,IELTS,7,71%,31 months
74,Aavishkar,Santa Clara University,Information Systems,Spring 2019 ,Interested,300,TOEFL,101,7.5 CGPA ,1 month
,Name,University,Course,Year,Status,GRE_SCORE,Eng_test,Test_score,Undergrad_score,work_ex
1,Rohan0901,Stevens Institute of Technology,Information Systems,Spring 2019 ,Applied,308,TOEFL,92,63.33%,60 months
2,Nikhita Methwani,Stevens Institute of Technology,Information Systems,Fall 2018 ,Applied,292,TOEFL,82,66%,44 months
3,HetPatel,Stevens Institute of Technology,Information Systems,Fall 2018 ,Applied,289,IELTS,6,7.3 CGPA ,2 months
4,Aakanksha27,Stevens Institute of Technology,Information Systems,Fall 2018 ,Applied,291,IELTS,6.5,6.35 CGPA ,9 months
5,moonlight23,Stevens Institute of Technology,Information Systems,Fall 2018  ,Applied,300,ENG TEST,NA ,7.6 CGPA ,NA
6,Shashi1512,Stevens Institute of Technology,Information Systems,Fall 2018 ,Applied,291,TOEFL,79,6.78 CGPA ,32 months
7,yashhhhh,Stevens Institute of Technology,Information Systems,Fall 2018 ,Applied,298,TOEFL,91,5.39 CGPA ,3 months
8,bhumiii3,Stevens Institute of Technology,Information Systems,Fall 2018 ,Applied,297,TOEFL,98,6.08 CGPA ,NA
9,JohailSherieff,Stevens Institute of Technology,Information Systems,Fall 2018 ,Applied,295,TOEFL,80,6.06 CGPA ,10 months
